Date,Close,
1972-04-01,654.99,
1972-05-01,646.81,
1972-06-01,647.06,
1972-07-01,639.20,
1972-08-01,660.28,
1972-09-01,649.22,
1972-10-01,647.33,
1972-11-01,678.21,
1972-12-01,690.72,
1973-01-01,694.38,
1973-02-01,665.06,
1973-03-01,648.53,
1973-04-01,632.04,
1973-05-01,610.08,
1973-06-01,592.37,
1973-07-01,596.67,
1973-08-01,575.01,
1973-09-01,583.69,
1973-10-01,601.58,
1973-11-01,555.19,
1973-12-01,512.54,
1974-01-01,515.27,
1974-02-01,494.64,
1974-03-01,509.29,
1974-04-01,481.25,
1974-05-01,460.96,
1974-06-01,457.81,
1974-07-01,401.10,
1974-08-01,379.90,
1974-09-01,336.34,
1974-10-01,339.50,
1974-11-01,348.02,
1974-12-01,322.86,
1975-01-01,347.95,
1975-02-01,381.18,
1975-03-01,397.18,
1975-04-01,400.11,
1975-05-01,423.12,
1975-06-01,430.69,
1975-07-01,426.33,
1975-08-01,394.35,
1975-09-01,387.43,
1975-10-01,403.06,
1975-11-01,406.92,
1975-12-01,399.29,
1976-01-01,435.24,
1976-02-01,450.42,
1976-03-01,451.85,
1976-04-01,453.80,
1976-05-01,447.49,
1976-06-01,447.77,
1976-07-01,455.92,
1976-08-01,449.62,
1976-09-01,457.60,
1976-10-01,439.69,
1976-11-01,435.92,
1976-12-01,449.45,
1977-01-01,443.30,
1977-02-01,426.96,
1977-03-01,422.41,
1977-04-01,412.44,
1977-05-01,409.18,
1977-06-01,408.67,
1977-07-01,410.39,
1977-08-01,399.04,
1977-09-01,391.56,
1977-10-01,380.19,
1977-11-01,380.52,
1977-12-01,377.45,
1978-01-01,360.76,
1978-02-01,353.42,
1978-03-01,350.01,
1978-04-01,362.48,
1978-05-01,377.31,
1978-06-01,374.22,
1978-07-01,369.58,
1978-08-01,393.30,
1978-09-01,390.34,
1978-10-01,374.57,
1978-11-01,351.07,
1978-12-01,354.68,
1979-01-01,364.73,
1979-02-01,355.16,
1979-03-01,358.29,
1979-04-01,361.31,
1979-05-01,348.48,
1979-06-01,351.43,
1979-07-01,351.00,
1979-08-01,363.58,
1979-09-01,363.70,
1979-10-01,347.18,
1979-11-01,341.34,
1979-12-01,351.14,
1980-01-01,356.13,
1980-02-01,365.10,
1980-03-01,326.56,
1980-04-01,317.69,
1980-05-01,328.94,
1980-06-01,346.20,
1980-07-01,361.91,
1980-08-01,370.40,
1980-09-01,376.24,
1980-10-01,383.59,
1980-11-01,396.52,
1980-12-01,386.48,
1981-01-01,381.93,
1981-02-01,364.95,
1981-03-01,376.02,
1981-04-01,376.86,
1981-05-01,366.41,
1981-06-01,364.83,
1981-07-01,352.12,
1981-08-01,350.80,
1981-09-01,317.12,
1981-10-01,320.45,
1981-11-01,327.69,
1981-12-01,329.04,
1982-01-01,310.77,
1982-02-01,302.39,
1982-03-01,292.93,
1982-04-01,306.17,
1982-05-01,303.56,
1982-06-01,282.55,
1982-07-01,280.33,
1982-08-01,280.52,
1982-09-01,312.36,
1982-10-01,337.61,
1982-11-01,352.06,
1982-12-01,356.83,
1983-01-01,368.62,
1983-02-01,374.63,
1983-03-01,387.64,
1983-04-01,399.58,
1983-05-01,413.29,
1983-06-01,417.82,
1983-07-01,417.64,
1983-08-01,404.92,
1983-09-01,414.82,
1983-10-01,414.83,
1983-11-01,407.83,
1983-12-01,405.46,
1984-01-01,407.97,
1984-02-01,383.78,
1984-03-01,383.28,
1984-04-01,381.90,
1984-05-01,378.38,
1984-06-01,368.85,
1984-07-01,362.63,
1984-08-01,393.04,
1984-09-01,395.22,
1984-10-01,391.01,
1984-11-01,394.56,
1984-12-01,390.29,
1985-01-01,406.37,
1985-02-01,426.37,
1985-03-01,421.25,
1985-04-01,422.08,
1985-05-01,430.52,
1985-06-01,438.61,
1985-07-01,446.13,
1985-08-01,435.59,
1985-09-01,424.70,
1985-10-01,427.96,
1985-11-01,452.68,
1985-12-01,473.84,
1986-01-01,474.60,
1986-02-01,501.50,
1986-03-01,533.43,
1986-04-01,547.52,
1986-05-01,547.16,
1986-06-01,559.68,
1986-07-01,548.04,
1986-08-01,557.97,
1986-09-01,540.25,
1986-10-01,537.72,
1986-11-01,554.66,
1986-12-01,562.07,
1987-01-01,594.26,
1987-02-01,628.84,
1987-03-01,651.89,
1987-04-01,641.33,
1987-05-01,638.62,
1987-06-01,663.44,
1987-07-01,680.79,
1987-08-01,719.37,
1987-09-01,692.37,
1987-10-01,607.15,
1987-11-01,530.41,
1987-12-01,521.75,
1988-01-01,540.91,
1988-02-01,555.88,
1988-03-01,569.80,
1988-04-01,560.26,
1988-05-01,544.54,
1988-06-01,573.14,
1988-07-01,567.35,
1988-08-01,553.63,
1988-09-01,558.90,
1988-10-01,576.58,
1988-11-01,562.80,
1988-12-01,573.27,
1989-01-01,588.79,
1989-02-01,604.04,
1989-03-01,597.93,
1989-04-01,613.53,
1989-05-01,633.47,
1989-06-01,651.67,
1989-07-01,666.56,
1989-08-01,694.97,
1989-09-01,694.14,
1989-10-01,691.03,
1989-11-01,675.09,
1989-12-01,690.66,
1990-01-01,666.69,
1990-02-01,644.99,
1990-03-01,657.03,
1990-04-01,655.46,
1990-05-01,677.28,
1990-06-01,693.13,
1990-07-01,689.79,
1990-08-01,627.91,
1990-09-01,593.83,
1990-10-01,574.75,
1990-11-01,588.72,
1990-12-01,613.85,
1991-01-01,604.15,
1991-02-01,671.41,
1991-03-01,688.95,
1991-04-01,701.61,
1991-05-01,696.43,
1991-06-01,694.93,
1991-07-01,697.47,
1991-08-01,712.20,
1991-09-01,705.08,
1991-10-01,703.47,
1991-11-01,699.68,
1991-12-01,703.87,
1992-01-01,752.73,
1992-02-01,743.67,
1992-03-01,730.60,
1992-04-01,729.65,
1992-05-01,741.83,
1992-06-01,727.53,
1992-07-01,738.04,
1992-08-01,741.05,
1992-09-01,739.92,
1992-10-01,726.78,
1992-11-01,743.95,
1992-12-01,767.01,
1993-01-01,762.52,
1993-02-01,771.16,
1993-03-01,783.19,
1993-04-01,768.73,
1993-05-01,771.42,
1993-06-01,775.22,
1993-07-01,773.88,
1993-08-01,783.55,
1993-09-01,790.73,
1993-10-01,795.46,
1993-11-01,793.18,
1993-12-01,798.43,
1994-01-01,808.27,
1994-02-01,803.12,
1994-03-01,787.20,
1994-04-01,758.03,
1994-05-01,763.73,
1994-06-01,767.79,
1994-07-01,759.94,
1994-08-01,778.41,
1994-09-01,780.88,
1994-10-01,775.09,
1994-11-01,769.38,
1994-12-01,759.67,
1995-01-01,773.36,
1995-02-01,797.88,
1995-03-01,813.78,
1995-04-01,835.38,
1995-05-01,859.83,
1995-06-01,883.60,
1995-07-01,913.12,
1995-08-01,913.57,
1995-09-01,943.85,
1995-10-01,947.52,
1995-11-01,968.65,
