Date,Close,Unnamed: 5,Unnamed: 6
2017-06-30,5785.17,,
2017-07-03,5861.5,,
2017-07-04,5844.75,,
2017-07-05,5888.25,,
2017-07-06,5918.18,,
2017-07-07,5903.53,,
2017-07-10,5954.1,,
2017-07-11,5948.64,,
2017-07-12,6020.99,,
2017-07-13,6070.35,,
2017-07-14,6066.76,,
2017-07-17,6103.58,,
2017-07-18,6079.01,,
2017-07-19,6155.4,,
2017-07-20,6138.96,,
2017-07-21,6157.19,,
2017-07-24,6156.32,,
2017-07-25,6187.38,,
2017-07-26,6220.64,,
2017-07-27,6189.72,,
2017-07-28,6208.6,,
2017-07-31,6270.59,,
2017-08-01,6343.79,,
2017-08-02,6321.7,,
2017-08-03,6322.05,,
2017-08-04,6474.16,,
2017-08-07,6569.81,,
2017-08-08,6511.05,,
2017-08-09,6417.73,,
2017-08-10,6266.01,,
2017-08-11,6206.96,,
2017-08-14,6363.46,,
2017-08-16,6428.85,,
2017-08-17,6433.94,,
2017-08-18,6422.27,,
2017-08-21,6303.85,,
2017-08-22,6298.9,,
2017-08-23,6409.67,,
2017-08-24,6445.14,,
2017-08-28,6499.85,,
2017-08-29,6416.4,,
2017-08-30,6539.04,,
2017-08-31,6567.02,,
2017-09-01,6639.89,,
2017-09-04,6573.06,,
2017-09-05,6608.65,,
2017-09-06,6632.79,,
2017-09-07,6703.93,,
2017-09-08,6663.0,,
2017-09-11,6734.47,,
2017-09-12,6786.81,,
2017-09-13,6716.2,,
2017-09-14,6719.86,,
2017-09-15,6703.85,,
2017-09-18,6737.89,,
2017-09-19,6756.35,,
2017-09-20,6730.11,,
2017-09-21,6689.24,,
2017-09-22,6507.48,,
2017-09-25,6415.45,,
2017-09-26,6443.0,,
2017-09-27,6319.13,,
2017-09-28,6327.03,,
2017-09-29,6400.6,,
2017-10-03,6479.01,,
2017-10-04,6498.93,,
2017-10-05,6487.82,,
2017-10-06,6602.39,,
2017-10-09,6602.81,,
2017-10-10,6620.02,,
2017-10-11,6587.86,,
2017-10-12,6682.19,,
2017-10-13,6713.49,,
2017-10-16,6739.59,,
2017-10-17,6755.69,,
2017-10-18,6768.91,,
2017-10-19,6725.89,,
2017-10-23,6754.03,,
2017-10-24,6768.79,,
2017-10-25,6699.78,,
2017-10-26,6775.24,,
2017-10-27,6769.12,,
2017-10-30,6815.11,,
2017-10-31,6786.09,,
2017-11-01,6826.63,,
2017-11-02,6818.05,,
2017-11-03,6822.4,,
2017-11-06,6846.38,,
2017-11-07,6756.91,,
2017-11-08,6686.41,,
2017-11-09,6720.62,,
2017-11-10,6694.88,,
2017-11-13,6630.95,,
2017-11-14,6598.42,,
2017-11-15,6524.24,,
2017-11-16,6589.51,,
2017-11-17,6670.71,,
2017-11-20,6706.54,,
2017-11-21,6742.62,,
2017-11-22,6736.15,,
2017-11-23,6738.45,,
2017-11-24,6763.48,,
2017-11-27,6753.83,,
2017-11-28,6752.24,,
2017-11-29,6758.75,,
2017-11-30,6680.21,,
2017-12-01,6574.11,,
2017-12-04,6570.3,,
2017-12-05,6568.82,,
2017-12-06,6506.44,,
2017-12-07,6618.07,,
2017-12-08,6717.0,,
2017-12-11,6727.25,,
2017-12-12,6667.16,,
2017-12-13,6622.33,,
2017-12-14,6664.74,,
2017-12-15,6764.66,,
2017-12-18,6830.11,,
2017-12-19,6923.48,,
2017-12-20,6901.32,,
2017-12-21,6906.54,,
2017-12-22,6950.77,,
2017-12-26,6982.55,,
2017-12-27,6943.51,,
2017-12-28,6959.3,,
2017-12-29,6951.53,,
2018-01-01,6894.34,,
2018-01-02,6877.47,,
2018-01-03,6907.69,,
2018-01-04,6967.86,,
2018-01-05,7036.16,,
2018-01-08,7090.81,,
2018-01-09,7070.46,,
2018-01-10,7038.61,,
2018-01-11,7026.71,,
2018-01-12,7029.92,,
2018-01-15,7010.64,,
2018-01-16,6887.5,,
2018-01-17,6945.59,,
2018-01-18,6839.9,,
2018-01-19,6900.98,,
2018-01-22,6884.11,,
2018-01-23,6980.82,,
2018-01-24,6953.17,,
2018-01-25,6919.86,,
2018-01-29,6941.95,,
2018-01-30,6932.0,,
2018-01-31,6910.79,,
2018-02-01,6962.95,,
2018-02-02,6745.07,,
2018-02-05,6702.25,,
2018-02-06,6618.59,,
2018-02-07,6666.58,,
2018-02-08,6713.38,,
2018-02-09,6673.31,,
2018-02-12,6751.73,,
2018-02-14,6719.77,,
2018-02-15,6752.08,,
2018-02-16,6659.07,,
2018-02-19,6577.28,,
2018-02-20,6592.16,,
2018-02-21,6565.49,,
2018-02-22,6508.56,,
2018-02-23,6643.39,,
2018-02-26,6742.48,,
2018-02-27,6718.55,,
2018-02-28,6659.86,,
2018-03-01,6617.22,,
2018-03-05,6503.45,,
2018-03-06,6467.11,,
2018-03-07,6393.04,,
2018-03-08,6398.0,,
2018-03-09,6373.87,,
2018-03-12,6492.13,,
2018-03-13,6578.58,,
2018-03-14,6564.41,,
2018-03-15,6525.91,,
2018-03-16,6428.81,,
2018-03-19,6317.02,,
2018-03-20,6314.31,,
2018-03-21,6321.95,,
2018-03-22,6294.01,,
2018-03-23,6185.15,,
2018-03-26,6276.43,,
2018-03-27,6372.07,,
2018-03-28,6322.14,,
2018-04-02,6434.13,,
2018-04-03,6475.3,,
2018-04-04,6405.54,,
2018-04-05,6552.05,,
2018-04-06,6604.36,,
2018-04-09,6641.18,,
2018-04-10,6632.7,,
2018-04-11,6674.67,,
2018-04-12,6685.5,,
2018-04-13,6706.74,,
